"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"19015","19","015","Iowa\Boone","Farms (number)",938
"19021","19","021","Iowa\Buena Vista","Farms (number)",858
"19023","19","023","Iowa\Butler","Farms (number)",1096
"19025","19","025","Iowa\Calhoun","Farms (number)",826
"19027","19","027","Iowa\Carroll","Farms (number)",1065
"19033","19","033","Iowa\Cerro Gordo","Farms (number)",780
"19041","19","041","Iowa\Clay","Farms (number)",720
"19049","19","049","Iowa\Dallas","Farms (number)",1001
"19059","19","059","Iowa\Dickinson","Farms (number)",441
"19063","19","063","Iowa\Emmet","Farms (number)",475
"19067","19","067","Iowa\Floyd","Farms (number)",944
"19069","19","069","Iowa\Franklin","Farms (number)",853
"19073","19","073","Iowa\Greene","Farms (number)",780
"19075","19","075","Iowa\Grundy","Farms (number)",737
"19077","19","077","Iowa\Guthrie","Farms (number)",829
"19079","19","079","Iowa\Hamilton","Farms (number)",761
"19081","19","081","Iowa\Hancock","Farms (number)",889
"19083","19","083","Iowa\Hardin","Farms (number)",819
"19091","19","091","Iowa\Humboldt","Farms (number)",574
"19099","19","099","Iowa\Jasper","Farms (number)",1098
"19109","19","109","Iowa\Kossuth","Farms (number)",1349
"19127","19","127","Iowa\Marshall","Farms (number)",882
"19131","19","131","Iowa\Mitchell","Farms (number)",903
"19147","19","147","Iowa\Palo Alto","Farms (number)",874
"19151","19","151","Iowa\Pocahontas","Farms (number)",742
"19153","19","153","Iowa\Polk","Farms (number)",773
"19161","19","161","Iowa\Sac","Farms (number)",914
"19169","19","169","Iowa\Story","Farms (number)",966
"19187","19","187","Iowa\Webster","Farms (number)",968
"19189","19","189","Iowa\Winnebago","Farms (number)",642
"19195","19","195","Iowa\Worth","Farms (number)",640
"19197","19","197","Iowa\Wright","Farms (number)",775
"19015","19","015","Iowa\Boone","Land in farms (acres)",313343
"19021","19","021","Iowa\Buena Vista","Land in farms (acres)",360849
"19023","19","023","Iowa\Butler","Land in farms (acres)",362751
"19025","19","025","Iowa\Calhoun","Land in farms (acres)",358205
"19027","19","027","Iowa\Carroll","Land in farms (acres)",358858
"19033","19","033","Iowa\Cerro Gordo","Land in farms (acres)",326879
"19041","19","041","Iowa\Clay","Land in farms (acres)",318772
"19049","19","049","Iowa\Dallas","Land in farms (acres)",306423
"19059","19","059","Iowa\Dickinson","Land in farms (acres)",187363
"19063","19","063","Iowa\Emmet","Land in farms (acres)",218987
"19067","19","067","Iowa\Floyd","Land in farms (acres)",317709
"19069","19","069","Iowa\Franklin","Land in farms (acres)",355381
"19073","19","073","Iowa\Greene","Land in farms (acres)",356867
"19075","19","075","Iowa\Grundy","Land in farms (acres)",318047
"19077","19","077","Iowa\Guthrie","Land in farms (acres)",327627
"19079","19","079","Iowa\Hamilton","Land in farms (acres)",327031
"19081","19","081","Iowa\Hancock","Land in farms (acres)",353351
"19083","19","083","Iowa\Hardin","Land in farms (acres)",332266
"19091","19","091","Iowa\Humboldt","Land in farms (acres)",234829
"19099","19","099","Iowa\Jasper","Land in farms (acres)",373652
"19109","19","109","Iowa\Kossuth","Land in farms (acres)",599439
"19127","19","127","Iowa\Marshall","Land in farms (acres)",312402
"19131","19","131","Iowa\Mitchell","Land in farms (acres)",296235
"19147","19","147","Iowa\Palo Alto","Land in farms (acres)",358769
"19151","19","151","Iowa\Pocahontas","Land in farms (acres)",332065
"19153","19","153","Iowa\Polk","Land in farms (acres)",197535
"19161","19","161","Iowa\Sac","Land in farms (acres)",357032
"19169","19","169","Iowa\Story","Land in farms (acres)",306000
"19187","19","187","Iowa\Webster","Land in farms (acres)",408928
"19189","19","189","Iowa\Winnebago","Land in farms (acres)",235443
"19195","19","195","Iowa\Worth","Land in farms (acres)",234958
"19197","19","197","Iowa\Wright","Land in farms (acres)",359713
"19015","19","015","Iowa\Boone","Land in farms \ Average size of farm (acres)",334
"19021","19","021","Iowa\Buena Vista","Land in farms \ Average size of farm (acres)",421
"19023","19","023","Iowa\Butler","Land in farms \ Average size of farm (acres)",331
"19025","19","025","Iowa\Calhoun","Land in farms \ Average size of farm (acres)",434
"19027","19","027","Iowa\Carroll","Land in farms \ Average size of farm (acres)",337
"19033","19","033","Iowa\Cerro Gordo","Land in farms \ Average size of farm (acres)",419
"19041","19","041","Iowa\Clay","Land in farms \ Average size of farm (acres)",443
"19049","19","049","Iowa\Dallas","Land in farms \ Average size of farm (acres)",306
"19059","19","059","Iowa\Dickinson","Land in farms \ Average size of farm (acres)",425
"19063","19","063","Iowa\Emmet","Land in farms \ Average size of farm (acres)",461
"19067","19","067","Iowa\Floyd","Land in farms \ Average size of farm (acres)",337
"19069","19","069","Iowa\Franklin","Land in farms \ Average size of farm (acres)",417
"19073","19","073","Iowa\Greene","Land in farms \ Average size of farm (acres)",458
"19075","19","075","Iowa\Grundy","Land in farms \ Average size of farm (acres)",432
"19077","19","077","Iowa\Guthrie","Land in farms \ Average size of farm (acres)",395
