Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"170,328",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",45,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),54,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),101,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),109,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),68,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),68,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,445,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"155,100",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",31,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),58,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),94,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),112,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),91,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),48,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,434,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"161,487",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",25,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),27,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),156,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),81,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),116,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),62,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,467,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"199,917",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",57,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),32,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),102,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),89,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),85,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),75,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,440,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"194,447",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",27,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),51,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),113,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),95,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),93,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),112,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,491,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"167,461",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",18,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),53,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),160,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),180,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),112,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),77,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,600,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"146,381",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",25,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),49,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),132,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),100,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),120,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),62,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,488,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"95,101",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",17,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),45,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),58,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),97,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),54,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),49,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,320,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"141,311",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",22,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),47,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),118,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),139,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),99,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),52,20.6
