Year,State,Ag District,County,Data Item,Domain,Domain Category,Value
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,107289
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",18
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),32
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),67
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),61
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),67
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),56
2007,ILLINOIS,CENTRAL,DE WITT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,301
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,189950
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",51
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),54
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),122
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),89
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),80
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),84
2007,ILLINOIS,CENTRAL,LOGAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,480
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,177506
