Day,Month,Date,Sunrise,Sunset,Time,Hours
0,14-Aug,15 Fri,7:21:20,21:16:34,13:55:14,13.92
1,14-Aug,16 Sat,7:22:25,21:15:05,13:52:40,13.88
2,14-Aug,17 Sun,7:23:30,21:13:34,13:50:04,13.83
3,14-Aug,18 Mon,7:24:34,21:12:03,13:47:29,13.79
4,14-Aug,19 Tue,7:25:39,21:10:30,13:44:51,13.75
5,14-Aug,20 Wed,7:26:44,21:08:57,13:42:13,13.70
6,14-Aug,21 Thu,7:27:48,21:07:22,13:39:34,13.66
7,14-Aug,22 Fri,7:28:53,21:05:47,13:36:54,13.62
8,14-Aug,23 Sat,7:29:58,21:04:11,13:34:13,13.57
9,14-Aug,24 Sun,7:31:03,21:02:34,13:31:31,13.53
10,14-Aug,25 Mon,7:32:07,21:00:57,13:28:50,13.48
11,14-Aug,26 Tue,7:33:12,20:59:18,13:26:06,13.44
12,14-Aug,27 Wed,7:34:16,20:57:39,13:23:23,13.39
13,14-Aug,28 Thu,7:35:21,20:55:59,13:20:38,13.34
14,14-Aug,29 Fri,7:36:25,20:54:19,13:17:54,13.30
15,14-Aug,30 Sat,7:37:30,20:52:37,13:15:07,13.25
16,14-Aug,31 Sun,7:38:34,20:50:56,13:12:22,13.21
17,14-Sep,01 Mon,7:39:39,20:49:13,13:09:34,13.16
18,14-Sep,02 Tue,7:40:43,20:47:30,13:06:47,13.11
19,14-Sep,03 Wed,7:41:47,20:45:47,13:04:00,13.07
20,14-Sep,04 Thu,7:42:52,20:44:03,13:01:11,13.02
21,14-Sep,05 Fri,7:43:56,20:42:19,12:58:23,12.97
22,14-Sep,06 Sat,7:45:00,20:40:34,12:55:34,12.93
23,14-Sep,07 Sun,7:46:04,20:38:49,12:52:45,12.88
24,14-Sep,08 Mon,7:47:09,20:37:04,12:49:55,12.83
25,14-Sep,09 Tue,7:48:13,20:35:18,12:47:05,12.78
26,14-Sep,10 Wed,7:49:17,20:33:32,12:44:15,12.74
27,14-Sep,11 Thu,7:50:21,20:31:45,12:41:24,12.69
28,14-Sep,12 Fri,7:51:26,20:29:59,12:38:33,12.64
29,14-Sep,13 Sat,7:52:30,20:28:12,12:35:42,12.60
30,14-Sep,14 Sun,7:53:34,20:26:25,12:32:51,12.55
31,14-Sep,15 Mon,7:54:39,20:24:38,12:29:59,12.50
32,14-Sep,16 Tue,7:55:43,20:22:51,12:27:08,12.45
33,14-Sep,17 Wed,7:56:48,20:21:03,12:24:15,12.40
34,14-Sep,18 Thu,7:57:53,20:19:16,12:21:23,12.36
35,14-Sep,19 Fri,7:58:57,20:17:29,12:18:32,12.31
36,14-Sep,20 Sat,8:00:02,20:15:41,12:15:39,12.26
37,14-Sep,21 Sun,8:01:07,20:13:54,12:12:47,12.21
38,14-Sep,22 Mon,8:02:12,20:12:07,12:09:55,12.17
39,14-Sep,23 Tue,8:03:18,20:10:19,12:07:01,12.12
40,14-Sep,24 Wed,8:04:23,20:08:32,12:04:09,12.07
41,14-Sep,25 Thu,8:05:29,20:06:45,12:01:16,12.02
42,14-Sep,26 Fri,8:06:34,20:04:59,11:58:25,11.97
43,14-Sep,27 Sat,8:07:40,20:03:12,11:55:32,11.93
44,14-Sep,28 Sun,8:08:46,20:01:26,11:52:40,11.88
45,14-Sep,29 Mon,8:09:53,19:59:40,11:49:47,11.83
46,14-Sep,30 Tue,8:10:59,19:57:54,11:46:55,11.78
47,14-Oct,01 Wed,8:12:06,19:56:09,11:44:03,11.73
48,14-Oct,02 Thu,8:13:13,19:54:24,11:41:11,11.69
49,14-Oct,03 Fri,8:14:20,19:52:39,11:38:19,11.64
