Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain Category,Value
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",36
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),51
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),127
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),111
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),77
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),98
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",31
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),47
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),93
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),142
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),83
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),55
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",35
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),33
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),154
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),125
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),116
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),58
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",44
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),36
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),130
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),129
