Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",45,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),54,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),101,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),109,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),68,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),68,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",31,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),58,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),94,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),112,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),91,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),48,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",25,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),27,17.9
